epochs,loss,cost,val_cost
0,2.552388870716095,329.1684667510986,180.0
1,-63.4836670923233,211.2105143737793,182.0
2,-56.77929940128326,209.08773069763183,168.0
3,-47.81303545331955,196.83775729370117,175.0
4,-43.236676239967345,194.9036845397949,167.0
5,-35.796413104534146,191.22289727783203,165.0
6,-42.985976151943206,190.64314022827148,167.0
7,-44.7744132270813,188.96177947998046,163.0
8,-42.93291007876396,189.22522817993163,163.0
9,-34.21282853543758,186.3368656616211,160.0
10,-30.379430250167847,181.8070696105957,160.0
11,-30.49130631136894,181.4745345916748,159.0
12,-31.40727543914318,178.54539163208008,161.0
13,-31.33389952492714,178.54075967407226,160.0
14,-34.38655622434616,181.0788468017578,161.0
15,-25.76622922068834,176.04063821411134,155.0
16,-31.225810268759727,174.17824375915527,153.0
17,-22.511655036687852,170.60993185424806,158.0
18,-26.33211463880539,173.5674291229248,159.0
19,-26.09136725115776,173.47294467163087,156.0
20,-24.405941127061844,172.20425729370118,158.0
21,-26.320797747313975,174.43667637634277,156.0
22,-20.737319543123245,170.4262511138916,154.0
23,-24.537063354849817,171.62716746520996,158.0
24,-21.835352103471756,171.0584066619873,154.0
25,-20.313684878587722,169.2880707550049,157.0
26,-21.481477884054183,170.0115647277832,157.0
27,-16.769879165887833,167.19264318847655,152.0
28,-19.997587261140346,168.9145513458252,152.0
29,-22.905983865737916,170.81363145446778,153.0
