time,epoch,batch,loss,cost
0min1sec,0,0,0.056,307.453
8min52sec,0,1000,0.845,108.730
11min51sec,1,0,2.865,87.809
8min4sec,1,1000,-13.484,91.428
11min30sec,2,0,-6.828,95.528
7min45sec,2,1000,-11.193,90.505
11min2sec,3,0,3.782,88.951
7min48sec,3,1000,-8.675,88.783
11min5sec,4,0,5.935,88.139
7min31sec,4,1000,-7.918,88.108
10min58sec,5,0,4.198,87.305
7min39sec,5,1000,-6.826,87.083
10min59sec,6,0,6.157,86.322
7min32sec,6,1000,-5.752,86.406
10min58sec,7,0,7.186,82.742
7min35sec,7,1000,-5.418,86.083
11min6sec,8,0,8.423,81.719
7min41sec,8,1000,-5.895,86.281
10min58sec,9,0,3.148,83.962
7min34sec,9,1000,-7.738,85.323
10min47sec,10,0,0.225,85.982
7min13sec,10,1000,-6.287,84.541
10min45sec,11,0,0.783,84.853
7min23sec,11,1000,-5.805,84.037
10min37sec,12,0,1.579,84.937
7min21sec,12,1000,-5.425,83.699
10min36sec,13,0,2.053,83.810
7min20sec,13,1000,-5.301,83.524
10min32sec,14,0,8.081,79.412
7min8sec,14,1000,-4.223,82.783
10min22sec,15,0,3.683,83.025
7min18sec,15,1000,-5.080,83.193
10min31sec,16,0,0.153,83.665
7min12sec,16,1000,-4.337,82.680
10min37sec,17,0,1.486,82.244
7min22sec,17,1000,-4.871,82.865
10min29sec,18,0,0.723,83.563
7min11sec,18,1000,-3.449,81.749
10min21sec,19,0,-4.731,83.509
7min11sec,19,1000,-5.210,81.763
10min26sec,20,0,-6.879,83.295
7min12sec,20,1000,-5.451,81.958
10min25sec,21,0,3.265,77.897
7min2sec,21,1000,-4.764,81.417
10min18sec,22,0,-2.619,83.484
7min13sec,22,1000,-4.867,81.360
10min1sec,23,0,0.440,81.108
7min2sec,23,1000,-4.628,81.318
10min10sec,24,0,-12.682,85.163
7min14sec,24,1000,-6.104,81.427
9min59sec,25,0,-0.191,78.746
6min59sec,25,1000,-3.918,79.719
9min54sec,26,0,1.093,77.627
7min11sec,26,1000,-5.558,80.896
10min10sec,27,0,-6.094,81.161
7min15sec,27,1000,-4.849,80.229
10min14sec,28,0,1.456,77.116
7min15sec,28,1000,-4.655,80.172
10min11sec,29,0,1.702,78.175
7min0sec,29,1000,-3.416,79.208
